Query,Image URL
Good Mama GESH1,https://www.bellanaija.com/wp-content/uploads/2023/05/Good-Mama-x-Mercy-Johnson-I-1000x600.jpg
Redisson CT23P 2.3L Electric Kettle,https://media.takealot.com/covers_images/aa7d7feb322844659b2d61f3a336ce7b/s-zoom.file
Condere 15 PCS pots,"https://img.bobshop.co.za/image/upload/f_auto,q_auto:eco,d_notfound.png/user_images/072/4467072/200915154348_T12-10-15%20Piece%20Stainless%20Pot%20Set%20CDH-001.jpg"
RUBBER HAMMER,https://m.media-amazon.com/images/I/51DPyL6G4rL.jpg
HDMI HDMI (20M),https://down-id.img.susercontent.com/file/id-11134207-7qul2-licrhoghmxeed6
SUNNY SN-1800,"https://img.bidorbuy.co.za/image/upload/f_auto,q_auto:eco/user_images/112/2168112/170522073345_IMG_4692.jpg"
"THUMB GRIPS FOR PS4, XBOX ONE",https://m.media-amazon.com/images/I/81xPVRIZMIL._AC_.jpg
Defy DMO 392,https://bawasfurn.com/cdn/shop/files/DMO392.jpg?v=1704273498&width=1445
Canon EOS 4000D,https://cdn.shopify.com/s/files/1/0327/9585/2937/files/Canon-EOS-4000D.jpg?v=1742388062
Skyworth SS586,https://img.kilimall.com/c/obs/seller/100008865/goods_image/251020102947_c8058cc2fe49fc81820b3d18cc236dad.jpg
Samsung Galaxy Z Flip4 Simpsons Ring Insert,https://image.ceneostatic.pl/data/products/142499006/i-samsung-ring-insert-do-galaxy-z-flip4-simpsons-gp-xvf721hodpw.jpg
Lexuco LX1101 1.7L Kettle,https://www.geewiz.co.za/268501-large_default/kettle-lx1101-black-17lcordednot-cordless.jpg
SINOTEC STL-58U20UM,"https://res.cloudinary.com/cash-crusaders/image/upload/f_auto,fl_lossy,h_1000,q_auto,w_1000/v1624268627/SecondHand/stl-65u20um_1_1_1_yiex4w"
Aruif Portable gas stove,https://www.zsmerch.co.za/cdn/shop/files/2_47d70203-9107-411a-8f78-32a5d29dc25e.jpg?v=1727213855&width=1445
Dust pan Dust pan set,https://www.caterclean.com/product/long-handled-lobby-dust-pan-and-brush-set-blue/LDPSET_Coloured.jpg
